map,tier,year,completions,hours played,completions per hours played,,notes
surf_leet_xl_beta7z,1,2012,24104,4033,5.977,,last updated: 2026.01.20
surf_santorini_ksf,1,2024,9398,1589,5.916,,
surf_garden,1,2019,12577,2214,5.681,,a very simple but naive difficulty metric. issues:
surf_aircontrol_ksf,1,2012,27399,5238,5.231,,  doesn't account for how many players were in the server each hour played  
surf_andromeda,1,2018,17125,3389,5.052,,  recently released maps (<1-2years) are skewed heavily
surf_sofia_fix,1,2025,3907,797,4.903,,  probably more
surf_race_final,1,2024,10222,2091,4.89,,  .. but it seems to work better than just going off raw completions
surf_rebel_scaz_ksf,1,2022,8263,1731,4.775,,
surf_listless_ksf,1,2022,8842,1908,4.635,,
surf_deathstar,1,2021,9496,2063,4.604,,
surf_n_turf,1,2024,5951,1294,4.598,,
surf_rebel_resistance_final3,1,2012,14559,3231,4.506,,
surf_demise,1,2023,13601,3029,4.491,,
surf_mesa_fixed,1,2014,30682,6851,4.479,,
surf_void,1,2022,7812,1747,4.473,,
surf_minuet_ksf,1,2022,7223,1615,4.472,,
surf_artois,1,2023,7747,1734,4.467,,
surf_water_run_ksf,1,2020,10031,2294,4.374,,
surf_nuclear,1,2022,10870,2533,4.291,,
surf_botanica,1,2023,9338,2197,4.251,,
surf_derpis_ksf,1,2013,14310,3374,4.241,,
surf_pantheon,1,2019,16716,3976,4.205,,
surf_anzchamps,2,2021,13889,3332,4.168,,
surf_kitsune,1,2015,15710,3859,4.071,,
surf_beginner,1,2012,19627,4831,4.063,,
surf_lovetunnel,1,2020,12515,3091,4.049,,
surf_akai_final,1,2012,12177,3022,4.029,,
surf_fortum_fix,2,2018,9969,2505,3.979,,
surf_crzyfrog_reloaded,2,2012,12201,3100,3.935,,
surf_utopia_njv,1,2012,21075,5361,3.931,,
surf_calycate_ksf,1,2022,6046,1558,3.881,,
surf_summit,1,2018,19726,5163,3.82,,
surf_citypop,1,2025,4473,1176,3.803,,
surf_tendies,1,2020,17570,4656,3.774,,
surf_aura,1,2022,11300,2997,3.771,,
surf_prime_time_r3vamp,1,2013,11459,3052,3.754,,
surf_lux,1,2018,9846,2627,3.748,,
surf_reprise,2,2015,13629,3690,3.693,,
surf_beginner2,2,2020,9669,2621,3.689,,
surf_boreas,1,2020,23139,6339,3.65,,
surf_egypt2,1,2019,9005,2476,3.637,,
surf_ravine,2,2020,8176,2324,3.519,,
surf_borderlands,1,2016,12721,3634,3.5,,
surf_year3000,1,2012,11391,3258,3.497,,
surf_beyond,1,2020,9221,2735,3.372,,
surf_satellite_fix,1,2021,5640,1678,3.36,,
surf_hourglass,1,2020,8878,2649,3.351,,
surf_rez,2,2017,9463,2845,3.326,,
surf_whiteout,1,2019,12842,3867,3.321,,
surf_delusional,2,2012,10100,3044,3.318,,
surf_trance,1,2023,5014,1517,3.304,,
surf_chaos_fix,1,2012,8973,2727,3.29,,
surf_ace,1,2015,16498,5052,3.266,,
surf_calycate2,1,2018,8208,2583,3.178,,
surf_quirky,2,2023,5441,1719,3.165,,
surf_zae,1,2026,322,102,3.163,,
surf_beyond2,1,2023,5552,1756,3.162,,
surf_aser,1,2019,8225,2606,3.156,,
surf_benevolent_refix,1,2017,10908,3463,3.15,,
surf_calzone,2,2019,9258,2964,3.123,,
surf_network2008_final,1,2012,7720,2487,3.104,,
surf_orthodox,2,2020,9887,3197,3.093,,
surf_sedona,2,2025,1023,332,3.079,,
surf_me,1,2016,15536,5050,3.076,,
surf_lessons,1,2012,10546,3430,3.075,,
surf_rookie,2,2014,12711,4139,3.071,,
surf_nyx,1,2019,10237,3372,3.036,,
surf_kepler,1,2022,8600,2845,3.022,,
surf_indecisive,2,2023,5079,1689,3.006,,
surf_4am,1,2025,4143,1437,2.884,,
surf_syria,2,2012,9459,3297,2.869,,
surf_illusion,2,2020,8155,2845,2.867,,
surf_8bit,2,2020,7002,2453,2.854,,
surf_simpsons_source,2,2013,9324,3313,2.814,,
surf_summer_ksf,2,2019,9109,3251,2.802,,
surf_mom_fix,1,2016,8653,3117,2.776,,
surf_anoobis,2,2022,7017,2531,2.773,,
surf_kloakk,2,2020,9328,3378,2.761,,
surf_arcade,2,2020,7071,2570,2.752,,
surf_sodacity,1,2025,3130,1159,2.699,,
surf_the_gloaming,2,2012,7767,2899,2.68,,
surf_holiday,2,2020,5874,2195,2.677,,
surf_sundown,1,2012,7516,2818,2.667,,
surf_forbidden_ways_ksf,2,2012,8857,3323,2.665,,
surf_boring,2,2012,8291,3130,2.649,,
surf_echo,2,2022,4996,1889,2.645,,
surf_greek_ksf,2,2024,3337,1268,2.632,,
surf_salvador_ksf,2,2024,2639,1004,2.628,,
surf_premium,2,2020,6914,2633,2.626,,
surf_ethereal,2,2016,8186,3121,2.623,,
surf_pox,1,2012,9279,3592,2.583,,
surf_gleam2,2,2019,6207,2428,2.556,,
surf_frost,1,2018,9432,3701,2.548,,
surf_perennial,2,2021,4638,1825,2.542,,
surf_1998,1,2025,1940,764,2.539,,
surf_autumn_fix,2,2023,3747,1479,2.534,,
surf_progress_fix,2,2019,6290,2496,2.52,,
surf_lullaby_ksf,2,2013,6508,2591,2.511,,
surf_aquaflow,2,2020,7560,3031,2.494,,
surf_in_space,2,2020,6232,2502,2.49,,
surf_frey_remake,2,2023,3630,1458,2.489,,
surf_school_fix,1,2018,7400,2982,2.482,,
surf_lore,2,2012,8110,3286,2.468,,
surf_presmon_fix,2,2012,6762,2744,2.464,,
surf_leidenfrost,2,2024,2486,1010,2.461,,
surf_spacejam,2,2015,8307,3379,2.459,,
surf_suburbia,2,2025,873,357,2.448,,
surf_enlightened_ksf,1,2021,6111,2505,2.439,,
surf_2pacisalive,2,2024,2454,1008,2.434,,
surf_grassland,2,2012,7572,3123,2.425,,
surf_stonks,2,2021,5501,2290,2.402,,
surf_ny_platinum,2,2012,6386,2669,2.393,,
surf_eclipse,2,2012,7354,3077,2.39,,
surf_destruction,2,2022,4400,1843,2.387,,
surf_forgotten,1,2017,8041,3437,2.339,,
surf_rocco_v2,2,2018,5678,2457,2.311,,
surf_lockdown,2,2021,4361,1890,2.307,,
surf_prelude_fix,1,2013,6848,2971,2.305,,
surf_awp_sk337_v3,1,2012,6469,2807,2.305,,
surf_nova,2,2021,6190,2717,2.278,,
surf_cyberwave,2,2019,9536,4221,2.259,,
surf_zor,2,2018,6456,2879,2.242,,
surf_funhouse_v1,1,2012,5670,2553,2.221,,
surf_whatever,2,2025,1710,772,2.216,,
surf_legends,1,2012,7380,3365,2.193,,
surf_and_destroy_fix,2,2013,5704,2615,2.181,,
surf_not_so_sinister_ksf,2,2022,3577,1645,2.174,,
surf_apollo,1,2022,6041,2790,2.166,,
surf_flow_ksf,1,2018,6476,2992,2.165,,
surf_believe,2,2018,5696,2638,2.159,,
surf_gleam,2,2017,5652,2644,2.138,,
surf_korn,2,2020,5267,2467,2.135,,
surf_sunnyhappylove,2,2014,6618,3131,2.114,,
surf_imex,2,2012,5898,2805,2.103,,
surf_palm,2,2018,6361,3027,2.102,,
surf_lament_ksf,1,2022,3360,1599,2.101,,
surf_network_2009,2,2012,5228,2507,2.086,,
surf_interference,2,2019,5559,2711,2.05,,
surf_aether,2,2017,5268,2575,2.046,,
surf_smart,2,2024,1687,828,2.038,,
surf_waterworks,2,2012,6461,3197,2.021,,
surf_heaven_njv,2,2012,5990,2968,2.018,,
surf_abandoned,2,2023,2595,1305,1.988,,
surf_beverages_remix,2,2018,5723,2902,1.972,,
surf_island,2,2014,5620,2865,1.962,,
surf_gradient,1,2025,2278,1168,1.951,,
surf_zealand,2,2017,5297,2718,1.949,,
surf_kz_protraining,2,2013,6460,3332,1.939,,
surf_shy,2,2025,1578,819,1.928,,
surf_zoomathon,1,2020,4284,2255,1.9,,
surf_psycho,2,2012,5206,2751,1.892,,
surf_exocube,2,2012,6333,3348,1.891,,
surf_olympics,3,2012,5627,2990,1.882,,
surf_interstellar,2,2024,1511,808,1.871,,
surf_mesa_mine,2,2014,5916,3173,1.865,,
surf_vegetables,3,2012,6250,3394,1.841,,
surf_guitar_hi,2,2017,6137,3348,1.833,,
surf_sanctuary,2,2020,5715,3129,1.827,,
surf_hurrr,2,2012,4502,2470,1.823,,
surf_flyin_fortress_fix,2,2012,4625,2567,1.801,,
surf_fruits,3,2012,7029,3917,1.795,,
surf_deadline,2,2021,4149,2317,1.79,,
surf_agony,2,2022,4606,2580,1.785,,
surf_fornax,1,2019,11396,6403,1.78,,
surf_happyhands,2,2012,5742,3279,1.751,,
surf_ing,2,2012,6624,3815,1.736,,
surf_mate,2,2021,3695,2131,1.734,,
surf_tuscany,2,2021,4041,2333,1.732,,
surf_sandtrap2,2,2018,8475,5034,1.684,,
surf_wood,2,2012,4902,2935,1.67,,
surf_duggywuggy,2,2016,4487,2691,1.668,,
surf_zbig_ksf,2,2017,4633,2786,1.663,,
surf_jenocide,3,2012,4209,2549,1.651,,
surf_elements_beta3,2,2012,4816,2927,1.645,,
surf_boogie_woogie,2,2024,2314,1408,1.643,,
surf_dragon,2,2017,4530,2781,1.629,,
surf_slob,2,2020,3615,2230,1.621,,
surf_hotwheels_fix,2,2019,4774,2968,1.609,,
surf_classics,2,2012,5835,3637,1.604,,
surf_tensile_njv,2,2012,4536,2852,1.591,,
surf_acp_fix,3,2012,5054,3181,1.589,,
surf_ny_superhappiest_b3,2,2012,3955,2507,1.578,,
surf_harmony_fix,2,2021,3614,2321,1.557,,
surf_healthy,3,2012,4379,2812,1.557,,
surf_ardon_fix,2,2019,4315,2802,1.54,,
surf_centipedes,3,2026,486,316,1.538,,
surf_81st_network,2,2012,4087,2658,1.538,,
surf_domain,2,2019,3430,2234,1.535,,
surf_greensway,2,2020,3429,2258,1.519,,
surf_carbon,3,2025,399,263,1.518,,
surf_exurbia_v2,2,2015,3736,2467,1.515,,
surf_ivory,2,2018,4974,3289,1.512,,
surf_fuchnut,2,2025,988,655,1.509,,
surf_zenith,2,2022,3096,2074,1.493,,
surf_spooky,2,2023,2143,1447,1.481,,
surf_dusk,3,2012,3306,2241,1.475,,
surf_glass7_ksf,2,2019,3141,2135,1.471,,
surf_verge,2,2022,3106,2122,1.464,,
surf_noble,2,2016,4137,2826,1.464,,
surf_activation,2,2022,3206,2217,1.446,,
surf_sandtrap,2,2017,5766,3991,1.445,,
surf_inspire,2,2014,4301,3003,1.432,,
surf_ember,3,2012,4127,2905,1.421,,
surf_glass9,2,2020,2681,1900,1.411,,
surf_mellow,2,2014,3769,2696,1.398,,
surf_palais,2,2020,3304,2379,1.389,,
surf_oasis,3,2015,4349,3130,1.389,,
surf_tranquil,2,2020,2878,2076,1.387,,
surf_amplitude_light,2,2012,3823,2767,1.382,,
surf_annoyance_njv,2,2012,3616,2636,1.372,,
surf_tomb_redone,2,2012,3246,2403,1.351,,
surf_liberation2,3,2012,3730,2769,1.347,,
surf_omnibus,3,2012,3523,2672,1.318,,
surf_amplitude_apex,3,2012,3398,2578,1.318,,
surf_commune_beta11,2,2013,3656,2803,1.304,,
surf_compulsive_njv,3,2012,3412,2633,1.296,,
surf_halloween_tf2,2,2014,3653,2830,1.291,,
surf_ripper,3,2012,3311,2566,1.29,,
surf_rapid,3,2012,3239,2514,1.288,,
surf_devs_ksf,2,2022,2116,1648,1.284,,
surf_krow10,3,2012,3228,2514,1.284,,
surf_canisius2_fix,3,2012,3213,2511,1.28,,
surf_nebula,2,2018,3696,2901,1.274,,
surf_canisius,3,2012,3352,2631,1.274,,
surf_pipeline,2,2025,1062,836,1.27,,
surf_amplitude_encore,2,2012,3375,2660,1.269,,
surf_delight,2,2018,3362,2650,1.268,,
surf_ny_momentum_v3_1,2,2012,3113,2457,1.267,,
surf_bbb,3,2012,3032,2396,1.266,,
surf_sanding_ksf,3,2012,3155,2493,1.266,,
surf_lies_ksf,2,2013,3782,2995,1.263,,
surf_seaworld_fix,2,2012,3313,2636,1.257,,
surf_2012_beta12,3,2012,3490,2793,1.25,,
surf_004_fix,2,2012,3867,3093,1.25,,
surf_bob,3,2012,3369,2715,1.241,,
surf_purgatory,3,2012,3033,2447,1.24,,
surf_saturday,2,2018,4851,3967,1.223,,
surf_elites_v2,2,2012,3300,2718,1.214,,
surf_globalchaos,3,2012,2916,2406,1.212,,
surf_kz_mix_journeys,2,2012,3435,2844,1.208,,
surf_refraxis,4,2012,3260,2741,1.189,,
surf_juturna,2,2016,3225,2722,1.185,,
surf_voteforthisone,3,2014,3331,2811,1.185,,
surf_liberation,3,2012,3365,2878,1.169,,
surf_bluewall_v2,2,2019,2923,2511,1.164,,
surf_extremex,3,2012,2846,2452,1.161,,
surf_epicube,2,2018,2833,2460,1.152,,
surf_squirrelsonvacation,2,2020,2954,2567,1.151,,
surf_smile_njv,3,2012,2841,2471,1.15,,
surf_meme,3,2016,3449,3006,1.147,,
surf_wasteland2,3,2022,2165,1892,1.144,,
surf_dynasty,3,2012,3010,2637,1.142,,
surf_smaragd_fix,3,2012,2754,2416,1.14,,
surf_aqua_fix,2,2018,2797,2471,1.132,,
surf_razer_final,3,2012,2381,2150,1.107,,
surf_1day,3,2012,3481,3160,1.102,,
surf_mynah_final,3,2012,2393,2185,1.095,,
surf_exxak,3,2012,2434,2232,1.091,,
surf_portal_game4,3,2012,2684,2465,1.089,,
surf_spectrum_njv,3,2012,2484,2293,1.083,,
surf_klue,2,2019,2501,2356,1.062,,
surf_thembrium_njv,3,2012,2562,2432,1.053,,
surf_concept,3,2012,2564,2439,1.051,,
surf_porn_fix,3,2012,2740,2617,1.047,,
surf_semesterbreak,2,2017,2402,2299,1.045,,
surf_cartoon,3,2017,2657,2562,1.037,,
surf_everdark,2,2023,1263,1220,1.036,,
surf_imagine_fix,3,2012,2556,2484,1.029,,
surf_vale,3,2016,2492,2432,1.025,,
surf_pathfinder,2,2016,2515,2477,1.016,,
surf_eggplant,2,2019,2580,2555,1.01,,
surf_skipalot,2,2019,3237,3210,1.008,,
surf_4head,2,2016,3445,3419,1.008,,
surf_abstinens,3,2015,2472,2495,0.991,,
surf_cookiejar,3,2012,2446,2472,0.99,,
surf_adtr_njv,3,2012,2385,2421,0.985,,
surf_injection_njv,4,2012,2456,2507,0.98,,
surf_cyka_ksf,3,2015,2460,2513,0.979,,
surf_oompa_loompa,3,2012,2189,2254,0.971,,
surf_epic,3,2012,2405,2476,0.971,,
surf_plaguelands_beta7a,3,2012,2423,2515,0.963,,
surf_doodles_njv,2,2017,2696,2806,0.961,,
surf_deceptive_final,3,2012,2605,2715,0.959,,
surf_ultimatum,3,2012,1961,2044,0.959,,
surf_zion,3,2012,2421,2540,0.953,,
surf_helium_fix,3,2012,2153,2261,0.952,,
surf_furios,3,2012,2289,2418,0.947,,
surf_s_t_a_t_i_o_n,3,2012,2259,2395,0.943,,
surf_commune_too_beta5,4,2012,2371,2513,0.943,,
surf_classics2,2,2012,3915,4159,0.941,,
surf_two_colour,3,2012,2158,2299,0.939,,
surf_vale2,3,2016,2428,2610,0.93,,
surf_outside,3,2022,1355,1460,0.928,,
surf_driftless,2,2017,2407,2626,0.917,,
surf_commune_again_beta5,3,2012,2233,2458,0.909,,
surf_coralis_ksf,3,2012,2604,2871,0.907,,
surf_forbidden_tomb,4,2012,2631,2900,0.907,,
surf_crystal,3,2012,2313,2551,0.907,,
surf_odyssey,2,2012,2541,2807,0.905,,
surf_ny_advance,3,2012,2365,2614,0.905,,
surf_threnody,3,2023,1558,1730,0.901,,
surf_missing_no,3,2012,2032,2260,0.899,,
surf_creation,3,2012,2481,2765,0.897,,
surf_bumpybusride,3,2023,1151,1286,0.895,,
surf_sc_essence_v2,4,2012,2298,2575,0.892,,
surf_methadone,3,2014,2443,2741,0.891,,
surf_morbid,3,2012,2128,2389,0.891,,
surf_journeys,2,2019,2299,2587,0.889,,
surf_insignia_b1,4,2012,2071,2330,0.889,,
surf_pagoda,3,2018,2137,2418,0.884,,
surf_compulsive_njv_h,4,2012,2056,2328,0.883,,
surf_prosaic,3,2012,2057,2333,0.882,,
surf_kitsune2,3,2015,4297,4884,0.88,,
surf_mesa_aether,3,2014,2196,2508,0.875,,
